"xh"	"sgdm"	"zqdm"	"name"	"wsfxr"	"ssr"	"fxl"	"wsfxl"	"sgsx"	"fxj"	"syl"	"zql"
"31"	"780916"	"601916"	"浙商银行"	"2019-11-14"	"2019-11-26"	"255,000"	"186,081"	"76.50"	"4.94"	"9.39"	"--"
"162"	"732967"	"603967"	"中创物流"	"2019-04-17"	"2019-04-29"	"6,667"	"6,000"	"2.60"	"15.32"	"22.23"	"--"
"73"	"300793"	"300793"	"佳禾智能"	"2019-10-08"	"2019-10-18"	"4,168"	"3,751"	"1.60"	"13.43"	"22.98"	"--"
"117"	"787088"	"688088"	"虹软科技"	"2019-07-11"	"2019-07-22"	"4,600"	"1,157"	"0.75"	"28.88"	"74.4"	"--"
"32"	"732390"	"603390"	"通达电气"	"2019-11-13"	"2019-11-25"	"8,792"	"7,913"	"3.50"	"10.07"	"22.98"	"--"
"163"	"300772"	"300772"	"运达股份"	"2019-04-17"	"2019-04-26"	"7,349"	"6,614"	"2.80"	"6.52"	"22.96"	"--"
"74"	"787368"	"688368"	"晶丰明源"	"2019-09-25"	"2019-10-14"	"1,540"	"586"	"0.40"	"56.68"	"46.89"	"--"
"118"	"787029"	"688029"	"南微医学"	"2019-07-11"	"2019-07-22"	"3,334"	"1,282"	"0.95"	"52.45"	"39.92"	"--"
"33"	"300806"	"300806"	"斯迪克"	"2019-11-13"	"2019-11-25"	"2,921"	"2,629"	"1.15"	"11.27"	"22.98"	"--"
"164"	"300773"	"300773"	"拉卡拉"	"2019-04-16"	"2019-04-25"	"4,001"	"3,601"	"1.20"	"33.28"	"22.98"	"--"
"75"	"732786"	"603786"	"科博达"	"2019-09-25"	"2019-10-15"	"4,010"	"3,609"	"1.20"	"26.89"	"22.98"	"--"
"119"	"787011"	"688011"	"新光光电"	"2019-07-10"	"2019-07-22"	"2,500"	"952"	"0.70"	"38.09"	"58.32"	"--"
"34"	"300798"	"300798"	"锦鸡股份"	"2019-11-12"	"2019-11-22"	"4,178"	"3,760"	"1.25"	"5.53"	"22.94"	"--"
"165"	"300771"	"300771"	"智莱科技"	"2019-04-11"	"2019-04-22"	"2,500"	"2,250"	"1.00"	"30.24"	"14.57"	"--"
"76"	"787036"	"688036"	"传音控股"	"2019-09-19"	"2019-09-30"	"8,000"	"2,120"	"1.35"	"35.15"	"42.78"	"--"
"120"	"787009"	"688009"	"中国通号"	"2019-07-10"	"2019-07-22"	"180,000"	"37,800"	"25.20"	"5.85"	"18.8"	"--"
"35"	"300805"	"300805"	"电声股份"	"2019-11-12"	"2019-11-21"	"4,233"	"3,810"	"1.25"	"10.20"	"22.98"	"--"
"166"	"300770"	"300770"	"新媒股份"	"2019-04-10"	"2019-04-19"	"3,210"	"2,889"	"1.25"	"36.17"	"22.98"	"--"
"77"	"300792"	"300792"	"壹网壹创"	"2019-09-18"	"2019-09-27"	"2,000"	"2,000"	"2.00"	"38.30"	"20.27"	"--"
"121"	"787007"	"688007"	"光峰科技"	"2019-07-10"	"2019-07-22"	"6,800"	"1,763"	"1.15"	"17.50"	"47.89"	"--"
"36"	"787196"	"688196"	"卓越新能"	"2019-11-11"	"2019-11-21"	"3,000"	"1,152"	"0.85"	"42.93"	"38.53"	"--"
"167"	"732317"	"603317"	"天味食品"	"2019-04-03"	"2019-04-16"	"4,132"	"3,719"	"1.20"	"13.46"	"22.98"	"--"
"78"	"787068"	"688068"	"热景生物"	"2019-09-18"	"2019-09-30"	"1,555"	"590"	"0.40"	"29.46"	"48.85"	"--"
